Command:,/Users/martin/source/executables/vxtractor.pl -h HMMs/bacteria/ -c testfile.output.csv -o testfile.output.fasta testfile.fasta
Options:,Don't include HMM in fasta
Sequence,V01leftlong,V01leftshort,V01rightlong,V01rightshort,V02leftlong,V02leftshort,V02rightlong,V02rightshort,V03leftlong,V03leftshort,V03rightlong,V03rightshort,V04leftlong,V04leftshort,V04rightlong,V04rightshort,V05leftlong,V05leftshort,V05rightlong,V05rightshort,V06leftlong,V06leftshort,V06rightlong,V06rightshort,V07leftlong,V07leftshort,V07rightlong,V07rightshort,V08leftlong,V08leftshort,V08rightlong,V08rightshort,V09leftlong,V09leftshort,V09rightlong,V09rightshort,V10leftlong,V10leftshort,V10rightlong,V10rightshort,V11leftlong,V11leftshort,V11rightlong,V11rightshort,V12leftlong,V12leftshort,V12rightlong,V12rightshort,V13leftlong,V13leftshort,V13rightlong,V13rightshort,V14leftlong,V14leftshort,V14rightlong,V14rightshort,V15leftlong,V15leftshort,V15rightlong,V15rightshort,V16leftlong,V16leftshort,V16rightlong,V16rightshort,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16
"'ADAF01000001.1631.4517","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1034-1094","'1034-1094","'1034-1094","'1034-1094","'1213-1268","'1213-1268","'1213-1268","'1213-1268","'1290-1337","'1290-1337","'1290-1337","'1290-1337","'1405-1449","'1405-1449","'1405-1449","'1405-1449","'1649-1686","'1649-1686","'1649-1686","'1649-1686","'1883-1956","'1883-1956","'1883-1956","'1883-1956","'2197-2252","'2197-2252","'2197-2252","'2197-2252","'2370-2419","'2370-2419","'2370-2419","'2370-2419","'2516-2587","'2516-2587","'2516-2587","'2516-2587","'2804-2887","'2804-2867","'59-187","'253-285","'332-430","'493-652","'722-748","'810-923","'994-1033","'1095-1212","'1269-1289","'1338-1404","'1450-1648","'1687-1882","'1957-2196","'2253-2369","'2420-2515","'2588-2803","'"
"'ADAF01000001.2523514.2526400","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1034-1094","'1034-1094","'1034-1094","'1034-1094","'1213-1268","'1213-1268","'1213-1268","'1213-1268","'1290-1337","'1290-1337","'1290-1337","'1290-1337","'1405-1449","'1405-1449","'1405-1449","'1405-1449","'1649-1686","'1649-1686","'1649-1686","'1649-1686","'1883-1956","'1883-1956","'1883-1956","'1883-1956","'2197-2252","'2197-2252","'2197-2252","'2197-2252","'2370-2419","'2370-2419","'2370-2419","'2370-2419","'2516-2587","'2516-2587","'2516-2587","'2516-2587","'2804-2887","'2804-2867","'59-187","'253-285","'332-430","'493-652","'722-748","'810-923","'994-1033","'1095-1212","'1269-1289","'1338-1404","'1450-1648","'1687-1882","'1957-2196","'2253-2369","'2420-2515","'2588-2803","'"
"'ADAK01000017.926.3812","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1034-1094","'1034-1094","'1034-1094","'1034-1094","'1213-1268","'1213-1268","'1213-1268","'1213-1268","'1290-1337","'1290-1337","'1290-1337","'1290-1337","'1405-1449","'1405-1449","'1405-1449","'1405-1449","'1649-1686","'1649-1686","'1649-1686","'1649-1686","'1883-1956","'1883-1956","'1883-1956","'1883-1956","'2197-2252","'2197-2252","'2197-2252","'2197-2252","'2370-2419","'2370-2419","'2370-2419","'2370-2419","'2516-2587","'2516-2587","'2516-2587","'2516-2587","'2804-2887","'2804-2867","'59-187","'253-285","'332-430","'493-652","'722-748","'810-923","'994-1033","'1095-1212","'1269-1289","'1338-1404","'1450-1648","'1687-1882","'1957-2196","'2253-2369","'2420-2515","'2588-2803","'"
"'ADVL01000363.379.3113","'4-57","'12-57","'182-246","'182-246","'182-246","'182-246","'280-325","'280-325","'280-325","'280-325","'423-484","'423-484","'423-484","'423-484","'645-713","'645-713","'645-713","'645-713","'741-801","'741-801","'741-801","'741-801","'916-985","'916-985","'916-985","'916-985","'1027-1087","'1027-1087","'1027-1087","'1027-1087","'1208-1263","'1208-1263","'1208-1263","'1208-1263","'1285-1332","'1285-1332","'1285-1332","'1285-1332","'notfound","'notfound","'notfound","'notfound","'1539-1576","'1539-1576","'1539-1576","'1539-1576","'1749-1822","'1749-1822","'1749-1822","'1749-1822","'2063-2118","'2063-2118","'2063-2118","'2063-2118","'2236-2285","'2236-2285","'2236-2285","'2236-2285","'2382-2453","'2382-2453","'2382-2453","'2382-2453","'2652-2733","'2652-2715","'58-181","'247-279","'326-422","'485-644","'714-740","'802-915","'986-1026","'1088-1207","'1264-1284","'notfound","'notfound","'1577-1748","'1823-2062","'2119-2235","'2286-2381","'2454-2651","'"
"'AE005672.1971038.1973927","'1-48","'3-48","'176-240","'176-240","'176-240","'176-240","'313-358","'313-358","'313-358","'313-358","'464-524","'464-524","'464-524","'464-524","'687-755","'687-755","'687-755","'687-755","'783-843","'783-843","'783-843","'783-843","'960-1029","'960-1029","'960-1029","'960-1029","'1071-1132","'1071-1132","'1071-1132","'1071-1132","'1248-1302","'1248-1302","'1248-1302","'1248-1302","'1324-1371","'1324-1371","'1324-1371","'1324-1371","'1439-1484","'1439-1484","'1439-1484","'1439-1484","'1684-1721","'1684-1721","'1684-1721","'1684-1721","'1892-1965","'1892-1965","'1892-1965","'1892-1965","'2206-2261","'2206-2261","'2206-2261","'2206-2261","'2379-2428","'2379-2428","'2379-2428","'2379-2428","'2525-2596","'2525-2596","'2525-2596","'2525-2596","'2810-2890","'2810-2873","'49-175","'241-312","'359-463","'525-686","'756-782","'844-959","'1030-1070","'1133-1247","'1303-1323","'1372-1438","'1485-1683","'1722-1891","'1966-2205","'2262-2378","'2429-2524","'2597-2809","'"
"'AE017262.2621787.2624718","'1-58","'13-58","'192-256","'192-256","'192-256","'192-256","'336-382","'336-382","'336-382","'336-382","'488-548","'488-548","'488-548","'488-548","'711-779","'711-779","'711-779","'711-779","'807-867","'807-867","'807-867","'807-867","'983-1052","'983-1052","'983-1052","'983-1052","'1094-1154","'1094-1154","'1094-1154","'1094-1154","'1275-1329","'1275-1329","'1275-1329","'1275-1329","'1351-1398","'1351-1398","'1351-1398","'1351-1398","'1472-1516","'1472-1516","'1472-1516","'1472-1516","'1713-1750","'1713-1750","'1713-1750","'1713-1750","'1933-2006","'1933-2006","'1933-2006","'1933-2006","'2247-2302","'2247-2302","'2247-2302","'2247-2302","'2420-2469","'2420-2469","'2420-2469","'2420-2469","'2566-2637","'2566-2637","'2566-2637","'2566-2637","'2850-2932","'2850-2913","'59-191","'257-335","'383-487","'549-710","'780-806","'868-982","'1053-1093","'1155-1274","'1330-1350","'1399-1471","'1517-1712","'1751-1932","'2007-2246","'2303-2419","'2470-2565","'2638-2849","'"
"'AF269719.477.3396","'1-56","'11-56","'191-255","'191-255","'191-255","'191-255","'335-380","'335-380","'335-380","'335-380","'486-546","'486-546","'486-546","'486-546","'708-776","'708-776","'708-776","'708-776","'804-864","'804-864","'804-864","'804-864","'979-1048","'979-1048","'979-1048","'979-1048","'1090-1150","'1090-1150","'1090-1150","'1090-1150","'1267-1320","'1267-1320","'1267-1320","'1267-1320","'1342-1389","'1342-1389","'1342-1389","'1342-1389","'1464-1508","'1464-1508","'1464-1508","'1464-1508","'1705-1742","'1705-1742","'1705-1742","'1705-1742","'1924-1997","'1924-1997","'1924-1997","'1924-1997","'2238-2293","'2238-2293","'2238-2293","'2238-2293","'2411-2460","'2411-2460","'2411-2460","'2411-2460","'2557-2628","'2557-2628","'2557-2628","'2557-2628","'2838-2920","'2838-2901","'57-190","'256-334","'381-485","'547-707","'777-803","'865-978","'1049-1089","'1151-1266","'1321-1341","'1390-1463","'1509-1704","'1743-1923","'1998-2237","'2294-2410","'2461-2556","'2629-2837","'"
"'AJ294421.1.2909","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1035-1095","'1035-1095","'1035-1095","'1035-1095","'1217-1272","'1217-1272","'1217-1272","'1217-1272","'1294-1341","'1294-1341","'1294-1341","'1294-1341","'1409-1453","'1409-1453","'1409-1453","'1409-1453","'1653-1690","'1653-1690","'1653-1690","'1653-1690","'1889-1962","'1889-1962","'1889-1962","'1889-1962","'2204-2259","'2204-2259","'2204-2259","'2204-2259","'2377-2426","'2377-2426","'2377-2426","'2377-2426","'2523-2594","'2523-2594","'2523-2594","'2523-2594","'2810-2893","'2810-2873","'59-187","'253-285","'332-430","'493-652","'722-748","'810-923","'994-1034","'1096-1216","'1273-1293","'1342-1408","'1454-1652","'1691-1888","'1963-2203","'2260-2376","'2427-2522","'2595-2809","'"
"'AJ295300.1.2915","'1-58","'13-58","'192-256","'192-256","'192-256","'192-256","'330-375","'330-375","'330-375","'330-375","'481-541","'481-541","'481-541","'481-541","'704-772","'704-772","'704-772","'704-772","'800-860","'800-860","'800-860","'800-860","'976-1045","'976-1045","'976-1045","'976-1045","'1087-1147","'1087-1147","'1087-1147","'1087-1147","'1266-1320","'1266-1320","'1266-1320","'1266-1320","'1342-1389","'1342-1389","'1342-1389","'1342-1389","'1463-1508","'1463-1508","'1463-1508","'1463-1508","'1706-1743","'1706-1743","'1706-1743","'1706-1743","'1915-1988","'1915-1988","'1915-1988","'1915-1988","'2229-2284","'2229-2284","'2229-2284","'2229-2284","'2402-2451","'2402-2451","'2402-2451","'2402-2451","'2548-2619","'2548-2619","'2548-2619","'2548-2619","'2833-2915","'2833-2896","'59-191","'257-329","'376-480","'542-703","'773-799","'861-975","'1046-1086","'1148-1265","'1321-1341","'1390-1462","'1509-1705","'1744-1914","'1989-2228","'2285-2401","'2452-2547","'2620-2832","'"
"'AJ306887.1.2914","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'288-333","'288-333","'288-333","'288-333","'432-493","'432-493","'432-493","'432-493","'655-723","'655-723","'655-723","'655-723","'751-811","'751-811","'751-811","'751-811","'926-995","'926-995","'926-995","'926-995","'1037-1097","'1037-1097","'1037-1097","'1037-1097","'1216-1271","'1216-1271","'1216-1271","'1216-1271","'1293-1340","'1293-1340","'1293-1340","'1293-1340","'1408-1452","'1408-1452","'1408-1452","'1408-1452","'1652-1689","'1652-1689","'1652-1689","'1652-1689","'1889-1962","'1889-1962","'1889-1962","'1889-1962","'2203-2258","'2203-2258","'2203-2258","'2203-2258","'2376-2425","'2376-2425","'2376-2425","'2376-2425","'2522-2593","'2522-2593","'2522-2593","'2522-2593","'2810-2893","'2810-2873","'59-189","'255-287","'334-431","'494-654","'724-750","'812-925","'996-1036","'1098-1215","'1272-1292","'1341-1407","'1453-1651","'1690-1888","'1963-2202","'2259-2375","'2426-2521","'2594-2809","'"
"'AM180355.3149330.3152282","'1-58","'13-58","'191-254","'191-254","'191-254","'191-254","'328-374","'328-374","'328-374","'328-374","'479-538","'479-538","'479-538","'479-538","'703-771","'703-771","'703-771","'703-771","'799-859","'799-859","'799-859","'799-859","'972-1041","'972-1041","'972-1041","'972-1041","'1083-1144","'1083-1144","'1083-1144","'1083-1144","'1258-1311","'1258-1311","'1258-1311","'1258-1311","'1333-1380","'1333-1380","'1333-1380","'1333-1380","'1454-1498","'1454-1498","'1454-1498","'1454-1498","'1695-1732","'1695-1732","'1695-1732","'1695-1732","'1902-1975","'1902-1975","'1902-1975","'1902-1975","'2217-2272","'2217-2272","'2217-2272","'2217-2272","'2390-2439","'2390-2439","'2390-2439","'2390-2439","'2536-2607","'2536-2607","'2536-2607","'2536-2607","'2816-2898","'2816-2879","'59-190","'255-327","'375-478","'539-702","'772-798","'860-971","'1042-1082","'1145-1257","'1312-1332","'1381-1453","'1499-1694","'1733-1901","'1976-2216","'2273-2389","'2440-2535","'2608-2815","'"
"'AM933173.4246636.4249622","'1-56","'11-56","'188-252","'188-252","'188-252","'188-252","'292-337","'292-337","'292-337","'292-337","'440-501","'440-501","'440-501","'440-501","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1311-1366","'1311-1366","'1311-1366","'1311-1366","'1388-1435","'1388-1435","'1388-1435","'1388-1435","'1503-1547","'1503-1547","'1503-1547","'1503-1547","'1747-1784","'1747-1784","'1747-1784","'1747-1784","'1983-2056","'1983-2056","'1983-2056","'1983-2056","'2297-2352","'2297-2352","'2297-2352","'2297-2352","'2470-2519","'2470-2519","'2470-2519","'2470-2519","'2616-2687","'2616-2687","'2616-2687","'2616-2687","'2904-2987","'2904-2967","'57-187","'253-291","'338-439","'502-664","'734-760","'822-936","'1007-1047","'1109-1310","'1367-1387","'1436-1502","'1548-1746","'1785-1982","'2057-2296","'2353-2469","'2520-2615","'2688-2903","'"
"'AM946016.18924.21828","'1-58","'13-58","'186-250","'186-250","'186-250","'186-250","'323-368","'323-368","'323-368","'323-368","'474-534","'474-534","'474-534","'474-534","'697-765","'697-765","'697-765","'697-765","'793-853","'793-853","'793-853","'793-853","'970-1039","'970-1039","'970-1039","'970-1039","'1081-1142","'1081-1142","'1081-1142","'1081-1142","'1260-1314","'1260-1314","'1260-1314","'1260-1314","'1336-1383","'1336-1383","'1336-1383","'1336-1383","'1451-1496","'1451-1496","'1451-1496","'1451-1496","'1696-1733","'1696-1733","'1696-1733","'1696-1733","'1904-1977","'1904-1977","'1904-1977","'1904-1977","'2218-2273","'2218-2273","'2218-2273","'2218-2273","'2391-2440","'2391-2440","'2391-2440","'2391-2440","'2537-2608","'2537-2608","'2537-2608","'2537-2608","'2822-2904","'2822-2885","'59-185","'251-322","'369-473","'535-696","'766-792","'854-969","'1040-1080","'1143-1259","'1315-1335","'1384-1450","'1497-1695","'1734-1903","'1978-2217","'2274-2390","'2441-2536","'2609-2821","'"
"'AM990992.610356.613266","'1-48","'3-48","'183-247","'183-247","'183-247","'183-247","'327-372","'327-372","'327-372","'327-372","'478-538","'478-538","'478-538","'478-538","'700-768","'700-768","'700-768","'700-768","'796-856","'796-856","'796-856","'796-856","'971-1040","'971-1040","'971-1040","'971-1040","'1082-1142","'1082-1142","'1082-1142","'1082-1142","'1259-1312","'1259-1312","'1259-1312","'1259-1312","'1334-1381","'1334-1381","'1334-1381","'1334-1381","'1456-1500","'1456-1500","'1456-1500","'1456-1500","'1698-1735","'1698-1735","'1698-1735","'1698-1735","'1917-1990","'1917-1990","'1917-1990","'1917-1990","'2231-2286","'2231-2286","'2231-2286","'2231-2286","'2404-2453","'2404-2453","'2404-2453","'2404-2453","'2550-2621","'2550-2621","'2550-2621","'2550-2621","'2831-2911","'2831-2894","'49-182","'248-326","'373-477","'539-699","'769-795","'857-970","'1041-1081","'1143-1258","'1313-1333","'1382-1455","'1501-1697","'1736-1916","'1991-2230","'2287-2403","'2454-2549","'2622-2830","'"
"'AP009324.2302287.2305209","'1-58","'13-58","'193-257","'193-257","'193-257","'193-257","'337-382","'337-382","'337-382","'337-382","'488-548","'488-548","'488-548","'488-548","'710-778","'710-778","'710-778","'710-778","'806-866","'806-866","'806-866","'806-866","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1269-1322","'1269-1322","'1269-1322","'1269-1322","'1344-1391","'1344-1391","'1344-1391","'1344-1391","'1466-1510","'1466-1510","'1466-1510","'1466-1510","'1708-1745","'1708-1745","'1708-1745","'1708-1745","'1927-2000","'1927-2000","'1927-2000","'1927-2000","'2241-2296","'2241-2296","'2241-2296","'2241-2296","'2414-2463","'2414-2463","'2414-2463","'2414-2463","'2560-2631","'2560-2631","'2560-2631","'2560-2631","'2841-2923","'2841-2904","'59-192","'258-336","'383-487","'549-709","'779-805","'867-980","'1051-1091","'1153-1268","'1323-1343","'1392-1465","'1511-1707","'1746-1926","'2001-2240","'2297-2413","'2464-2559","'2632-2840","'"
"'AP009324.578173.581095","'1-58","'13-58","'193-257","'193-257","'193-257","'193-257","'337-382","'337-382","'337-382","'337-382","'488-548","'488-548","'488-548","'488-548","'710-778","'710-778","'710-778","'710-778","'806-866","'806-866","'806-866","'806-866","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1269-1322","'1269-1322","'1269-1322","'1269-1322","'1344-1391","'1344-1391","'1344-1391","'1344-1391","'1466-1510","'1466-1510","'1466-1510","'1466-1510","'1708-1745","'1708-1745","'1708-1745","'1708-1745","'1927-2000","'1927-2000","'1927-2000","'1927-2000","'2241-2296","'2241-2296","'2241-2296","'2241-2296","'2414-2463","'2414-2463","'2414-2463","'2414-2463","'2560-2631","'2560-2631","'2560-2631","'2560-2631","'2841-2923","'2841-2904","'59-192","'258-336","'383-487","'549-709","'779-805","'867-980","'1051-1091","'1153-1268","'1323-1343","'1392-1465","'1511-1707","'1746-1926","'2001-2240","'2297-2413","'2464-2559","'2632-2840","'"
"'AX415067.262337.265256","'1-48","'3-48","'182-246","'182-246","'182-246","'182-246","'326-372","'326-372","'326-372","'326-372","'478-538","'478-538","'478-538","'478-538","'701-769","'701-769","'701-769","'701-769","'797-857","'797-857","'797-857","'797-857","'973-1042","'973-1042","'973-1042","'973-1042","'1084-1144","'1084-1144","'1084-1144","'1084-1144","'1265-1319","'1265-1319","'1265-1319","'1265-1319","'1341-1388","'1341-1388","'1341-1388","'1341-1388","'1462-1506","'1462-1506","'1462-1506","'1462-1506","'1703-1740","'1703-1740","'1703-1740","'1703-1740","'1923-1996","'1923-1996","'1923-1996","'1923-1996","'2237-2292","'2237-2292","'2237-2292","'2237-2292","'2410-2459","'2410-2459","'2410-2459","'2410-2459","'2556-2627","'2556-2627","'2556-2627","'2556-2627","'2840-2920","'2840-2903","'49-181","'247-325","'373-477","'539-700","'770-796","'858-972","'1043-1083","'1145-1264","'1320-1340","'1389-1461","'1507-1702","'1741-1922","'1997-2236","'2293-2409","'2460-2555","'2628-2839","'"
"'AY224381.2668.5593","'1-58","'13-58","'192-256","'192-256","'192-256","'192-256","'337-383","'337-383","'337-383","'337-383","'489-549","'489-549","'489-549","'489-549","'711-779","'711-779","'711-779","'711-779","'807-867","'807-867","'807-867","'807-867","'983-1052","'983-1052","'983-1052","'983-1052","'1094-1154","'1094-1154","'1094-1154","'1094-1154","'1274-1328","'1274-1328","'1274-1328","'1274-1328","'1350-1397","'1350-1397","'1350-1397","'1350-1397","'1472-1517","'1472-1517","'1472-1517","'1472-1517","'1714-1751","'1714-1751","'1714-1751","'1714-1751","'1923-1996","'1923-1996","'1923-1996","'1923-1996","'2238-2292","'2238-2292","'2238-2292","'2238-2292","'2410-2459","'2410-2459","'2410-2459","'2410-2459","'2556-2627","'2556-2627","'2556-2627","'2556-2627","'2840-2922","'2840-2903","'59-191","'257-336","'384-488","'550-710","'780-806","'868-982","'1053-1093","'1155-1273","'1329-1349","'1398-1471","'1518-1713","'1752-1922","'1997-2237","'2293-2409","'2460-2555","'2628-2839","'"
"'BA000032.135166.138056","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'654-722","'654-722","'654-722","'654-722","'750-810","'750-810","'750-810","'750-810","'925-994","'925-994","'925-994","'925-994","'1035-1095","'1035-1095","'1035-1095","'1035-1095","'1215-1270","'1215-1270","'1215-1270","'1215-1270","'1292-1339","'1292-1339","'1292-1339","'1292-1339","'1407-1451","'1407-1451","'1407-1451","'1407-1451","'1651-1688","'1651-1688","'1651-1688","'1651-1688","'1887-1960","'1887-1960","'1887-1960","'1887-1960","'2201-2256","'2201-2256","'2201-2256","'2201-2256","'2374-2423","'2374-2423","'2374-2423","'2374-2423","'2520-2591","'2520-2591","'2520-2591","'2520-2591","'2808-2891","'2808-2871","'59-187","'253-285","'332-430","'493-653","'723-749","'811-924","'995-1034","'1096-1214","'1271-1291","'1340-1406","'1452-1650","'1689-1886","'1961-2200","'2257-2373","'2424-2519","'2592-2807","'"
"'BA000043.2942418.2945347","'2-51","'6-51","'185-249","'185-249","'185-249","'185-249","'332-378","'332-378","'332-378","'332-378","'484-544","'484-544","'484-544","'484-544","'707-775","'707-775","'707-775","'707-775","'803-863","'803-863","'803-863","'803-863","'979-1048","'979-1048","'979-1048","'979-1048","'1090-1150","'1090-1150","'1090-1150","'1090-1150","'1266-1321","'1266-1321","'1266-1321","'1266-1321","'1343-1390","'1343-1390","'1343-1390","'1343-1390","'1465-1510","'1465-1510","'1465-1510","'1465-1510","'1703-1740","'1703-1740","'1703-1740","'1703-1740","'1923-1996","'1923-1996","'1923-1996","'1923-1996","'2237-2292","'2237-2292","'2237-2292","'2237-2292","'2410-2459","'2410-2459","'2410-2459","'2410-2459","'2556-2627","'2556-2627","'2556-2627","'2556-2627","'2841-2923","'2841-2904","'52-184","'250-331","'379-483","'545-706","'776-802","'864-978","'1049-1089","'1151-1265","'1322-1342","'1391-1464","'1511-1702","'1741-1922","'1997-2236","'2293-2409","'2460-2555","'2628-2840","'"
"'BA000043.521910.524837","'1-58","'13-58","'192-256","'192-256","'192-256","'192-256","'339-385","'339-385","'339-385","'339-385","'491-551","'491-551","'491-551","'491-551","'714-782","'714-782","'714-782","'714-782","'810-870","'810-870","'810-870","'810-870","'986-1055","'986-1055","'986-1055","'986-1055","'1097-1157","'1097-1157","'1097-1157","'1097-1157","'1273-1328","'1273-1328","'1273-1328","'1273-1328","'1350-1397","'1350-1397","'1350-1397","'1350-1397","'1472-1517","'1472-1517","'1472-1517","'1472-1517","'1710-1747","'1710-1747","'1710-1747","'1710-1747","'1930-2003","'1930-2003","'1930-2003","'1930-2003","'2244-2299","'2244-2299","'2244-2299","'2244-2299","'2417-2466","'2417-2466","'2417-2466","'2417-2466","'2563-2634","'2563-2634","'2563-2634","'2563-2634","'2848-2927","'2848-2911","'59-191","'257-338","'386-490","'552-713","'783-809","'871-985","'1056-1096","'1158-1272","'1329-1349","'1398-1471","'1518-1709","'1748-1929","'2004-2243","'2300-2416","'2467-2562","'2635-2847","'"
"'BABM01000001.1997926.2000836","'1-48","'3-48","'183-247","'183-247","'183-247","'183-247","'327-372","'327-372","'327-372","'327-372","'478-538","'478-538","'478-538","'478-538","'700-768","'700-768","'700-768","'700-768","'796-856","'796-856","'796-856","'796-856","'971-1040","'971-1040","'971-1040","'971-1040","'1082-1142","'1082-1142","'1082-1142","'1082-1142","'1259-1312","'1259-1312","'1259-1312","'1259-1312","'1334-1381","'1334-1381","'1334-1381","'1334-1381","'1456-1500","'1456-1500","'1456-1500","'1456-1500","'1698-1735","'1698-1735","'1698-1735","'1698-1735","'1917-1990","'1917-1990","'1917-1990","'1917-1990","'2231-2286","'2231-2286","'2231-2286","'2231-2286","'2404-2453","'2404-2453","'2404-2453","'2404-2453","'2550-2621","'2550-2621","'2550-2621","'2550-2621","'2831-2911","'2831-2894","'49-182","'248-326","'373-477","'539-699","'769-795","'857-970","'1041-1081","'1143-1258","'1313-1333","'1382-1455","'1501-1697","'1736-1916","'1991-2230","'2287-2403","'2454-2549","'2622-2830","'"
"'BX571856.561991.564913","'1-58","'13-58","'193-257","'193-257","'193-257","'193-257","'337-382","'337-382","'337-382","'337-382","'488-548","'488-548","'488-548","'488-548","'710-778","'710-778","'710-778","'710-778","'806-866","'806-866","'806-866","'806-866","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1269-1322","'1269-1322","'1269-1322","'1269-1322","'1344-1391","'1344-1391","'1344-1391","'1344-1391","'1466-1510","'1466-1510","'1466-1510","'1466-1510","'1708-1745","'1708-1745","'1708-1745","'1708-1745","'1927-2000","'1927-2000","'1927-2000","'1927-2000","'2241-2296","'2241-2296","'2241-2296","'2241-2296","'2414-2463","'2414-2463","'2414-2463","'2414-2463","'2560-2631","'2560-2631","'2560-2631","'2560-2631","'2841-2923","'2841-2904","'59-192","'258-336","'383-487","'549-709","'779-805","'867-980","'1051-1091","'1153-1268","'1323-1343","'1392-1465","'1511-1707","'1746-1926","'2001-2240","'2297-2413","'2464-2559","'2632-2840","'"
"'CP000024.19638.22535","'1-56","'11-56","'184-248","'184-248","'184-248","'184-248","'321-366","'321-366","'321-366","'321-366","'472-532","'472-532","'472-532","'472-532","'695-763","'695-763","'695-763","'695-763","'791-851","'791-851","'791-851","'791-851","'967-1036","'967-1036","'967-1036","'967-1036","'1078-1139","'1078-1139","'1078-1139","'1078-1139","'1255-1309","'1255-1309","'1255-1309","'1255-1309","'1331-1378","'1331-1378","'1331-1378","'1331-1378","'1446-1490","'1446-1490","'1446-1490","'1446-1490","'1690-1727","'1690-1727","'1690-1727","'1690-1727","'1898-1971","'1898-1971","'1898-1971","'1898-1971","'2212-2267","'2212-2267","'2212-2267","'2212-2267","'2385-2434","'2385-2434","'2385-2434","'2385-2434","'2531-2602","'2531-2602","'2531-2602","'2531-2602","'2816-2898","'2816-2879","'57-183","'249-320","'367-471","'533-694","'764-790","'852-966","'1037-1077","'1140-1254","'1310-1330","'1379-1445","'1491-1689","'1728-1897","'1972-2211","'2268-2384","'2435-2530","'2603-2815","'"
"'CP000034.3206319.3209220","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'664-732","'664-732","'664-732","'664-732","'760-820","'760-820","'760-820","'760-820","'936-1005","'936-1005","'936-1005","'936-1005","'1047-1107","'1047-1107","'1047-1107","'1047-1107","'1228-1283","'1228-1283","'1228-1283","'1228-1283","'1305-1352","'1305-1352","'1305-1352","'1305-1352","'1420-1464","'1420-1464","'1420-1464","'1420-1464","'1662-1699","'1662-1699","'1662-1699","'1662-1699","'1898-1971","'1898-1971","'1898-1971","'1898-1971","'2212-2267","'2212-2267","'2212-2267","'2212-2267","'2385-2434","'2385-2434","'2385-2434","'2385-2434","'2531-2602","'2531-2602","'2531-2602","'2531-2602","'2819-2902","'2819-2882","'59-189","'255-293","'340-441","'504-663","'733-759","'821-935","'1006-1046","'1108-1227","'1284-1304","'1353-1419","'1465-1661","'1700-1897","'1972-2211","'2268-2384","'2435-2530","'2603-2818","'"
"'CP000038.2872615.2875518","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1230-1285","'1230-1285","'1230-1285","'1230-1285","'1307-1354","'1307-1354","'1307-1354","'1307-1354","'1422-1466","'1422-1466","'1422-1466","'1422-1466","'1664-1701","'1664-1701","'1664-1701","'1664-1701","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1229","'1286-1306","'1355-1421","'1467-1663","'1702-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
